,GDP (PPP) per capita,Happiness score,Life expectancy,Birth rate
Montserrat (UK),,,,
Morocco,8933.0,5.207999999999999,74.3,18.0
Mozambique,1291.0,4.466,57.6,38.3
Myanmar,6511.0,4.36,66.6,18.2
Namibia,11229.0,4.638999999999999,65.8,27.9
Nauru,12326.0,,,24.4
Nepal,2905.0,4.913,69.2,19.9
Netherlands,56383.0,7.4879999999999995,81.9,10.9
New Caledonia (France),,,,
New Zealand,40135.0,7.307,81.6,13.3
Nicaragua,5683.0,6.105,74.8,17.9
Niger,1217.0,4.628,61.8,44.8
Nigeria,6027.0,5.265,54.5,37.3
Niue (New Zealand),,,,
North Korea,,,70.6,14.6
North Macedonia,15709.0,5.274,75.7,
Northern Cyprus,,5.718,,
Northern Mariana Islands (USA),,,,
Norway,74356.0,7.553999999999999,81.8,12.2
Oman,46584.0,,76.6,24.3
Pakistan,5680.0,5.653,66.4,22.3
Palau,14952.0,,,11.2
Palestine,,,,
Palestine/Gaza Strip,,,,
Palestinian Territories,,4.696000000000001,,
Panama,25674.0,6.321000000000001,78.2,18.1
Papua New Guinea,3662.0,,62.9,24.0
Paraguay,13395.0,5.742999999999999,74.0,16.5
Peru,14224.0,5.697,75.5,18.0
Philippines,8936.0,5.631,68.5,24.0
Pitcairn Islands (UK),,,,
Poland,31939.0,6.182,77.5,9.6
Portugal,32006.0,5.693,81.1,9.1
Puerto Rico,39737.0,,,
Puerto Rico (USA),,,,
Qatar,130475.0,6.374,79.3,9.7
Romania,26447.0,6.07,75.0,9.0
Russia,29267.0,5.648,70.5,11.3
Rwanda,2280.0,3.3339999999999996,66.1,33.3
Réunion (France),,,,
Saint Barthélemy (France),,,,
"Saint Helena, Ascension and Tristan da Cunha (UK)",,,,
Saint Kitts and Nevis,29820.0,,,13.3
Saint Lucia,14355.0,,75.2,13.5
Saint Martin (France),,,,
Saint Pierre and Miquelon (France),,,,
Saint Vincent and the Grenadines,11956.0,,73.2,13.4
Samoa,5890.0,,74.0,20.6
San Marino,60313.0,,,8.6
Sao Tome and Principe,,,67.5,
Saudi Arabia,55944.0,6.375,74.5,18.4
Senegal,3651.0,4.681,66.7,34.0
Serbia,17555.0,5.603,75.6,9.0
Seychelles,30505.0,,73.2,13.9
Sierra Leone,1620.0,4.374,50.1,36.7
Singapore,100345.0,6.2620000000000005,83.1,8.5
Sint Maarten (Netherlands),,,,
Slovakia,35130.0,6.1979999999999995,76.7,9.8
Slovenia,36746.0,6.117999999999999,80.8,8.3
Solomon Islands,2242.0,,69.2,25.3
Somalia,,4.668,55.0,40.0
South Africa,13675.0,4.7219999999999995,62.9,20.5
South Korea,,5.895,82.3,8.4
South Sudan,1502.0,2.853,57.3,36.2
Spain,40139.0,6.354,82.8,9.4
Sri Lanka,13397.0,4.3660000000000005,74.9,15.5
Sudan,4232.0,,64.1,28.5
Suriname,15105.0,,71.6,16.0
Swaziland,,4.212,,
Sweden,52984.0,7.343,82.4,12.0
Switzerland,64649.0,7.48,83.4,10.5
Syria,,3.4619999999999997,64.5,21.7
São Tomé and Príncipe,3324.0,,,33.3
Taiwan,53023.0,6.446000000000001,,8.4
Tajikistan,3416.0,5.4670000000000005,69.7,23.8
Tanzania,3444.0,3.2310000000000003,61.8,36.0
Thailand,19476.0,6.007999999999999,74.9,11.1
Timor-Leste,5242.0,,68.3,
Togo,1746.0,4.085,59.9,33.7
Tokelau (New Zealand),,,,
Tonga,6111.0,,73.5,22.6
Trinidad & Tobago,,6.192,,
Trinidad and Tobago,32254.0,,71.2,13.1
Tunisia,12372.0,4.461,75.3,16.4
Turkey,27956.0,5.372999999999999,75.8,16.0
Turkmenistan,19527.0,5.247000000000001,66.3,19.3
Turks and Caicos Islands (UK),,,,
Tuvalu,4052.0,,,23.8
U.S. Virgin Islands,,,,
Uganda,2498.0,4.189,62.3,43.4
Ukraine,9283.0,4.332,71.3,10.5
United Arab Emirates,69382.0,6.825,77.1,15.3
United Kingdom,45705.0,7.053999999999999,81.2,12.1
United States,62606.0,6.892,77.8,12.5
Uruguay,23274.0,6.292999999999999,77.0,13.0
Uzbekistan,7665.0,6.1739999999999995,69.4,16.9
Vanuatu,2862.0,,72.0,24.5
Venezuela,,4.707,74.1,19.2
Vietnam,7510.0,5.175,76.0,15.7
Wallis and Futuna (France),,,,
Western Sahara (Sahrawi),,,,29.8
World,,,,
World[n 1],16779.0,,,
Yemen,2377.0,3.38,65.7,29.2
Zambia,4104.0,4.107,61.8,41.8
Zimbabwe,2788.0,3.6630000000000003,60.7,31.9
